{ x:59, y:34}  убивает { x:65, y:36} 
{ x:259, y:118}  убивает { x:256, y:115} 
{ x:216, y:123}  убивает { x:169, y:123} 
{ x:227, y:340}  убивает { x:225, y:334} 
{ x:175, y:121}  убивает { x:169, y:123} 
{ x:175, y:121}  убивает { x:169, y:123} 
{ x:283, y:304}  убивает { x:282, y:302} 
{ x:275, y:114}  убивает { x:291, y:152} 
{ x:226, y:338}  убивает { x:227, y:340} 
{ x:73, y:326}  убивает { x:84, y:318} 
{ x:73, y:326}  убивает { x:84, y:318} 
{ x:216, y:119}  убивает { x:214, y:111} 
{ x:216, y:119}  убивает { x:214, y:111} 
{ x:225, y:336}  убивает { x:226, y:338} 
{ x:224, y:334}  убивает { x:223, y:332} 
{ x:224, y:334}  убивает { x:223, y:332} 
{ x:285, y:207}  убивает { x:277, y:219} 
{ x:285, y:207}  убивает { x:277, y:219} 
{ x:108, y:73}  убивает { x:115, y:71} 
{ x:115, y:62}  убивает { x:67, y:84} 
{ x:115, y:62}  убивает { x:67, y:84} 
{ x:199, y:326}  убивает { x:212, y:332} 
{ x:199, y:326}  убивает { x:212, y:332} 
{ x:321, y:293}  убивает { x:307, y:296} 
{ x:319, y:291}  убивает { x:307, y:296} 
{ x:319, y:291}  убивает { x:307, y:296} 
{ x:164, y:124}  убивает { x:130, y:158} 
{ x:130, y:131}  убивает { x:138, y:125} 
{ x:130, y:131}  убивает { x:137, y:125} 
{ x:137, y:125}  убивает { x:130, y:131} 
{ x:137, y:125}  убивает { x:130, y:131} 
{ x:219, y:115}  убивает { x:211, y:112} 
{ x:219, y:115}  убивает { x:211, y:112} 
{ x:7, y:173}  убивает { x:42, y:196} 
{ x:7, y:173}  убивает { x:42, y:196} 
{ x:49, y:299}  убивает { x:43, y:285} 
{ x:219, y:84}  убивает { x:220, y:99} 
{ x:220, y:99}  убивает { x:222, y:91} 
{ x:49, y:298}  убивает { x:43, y:285} 
{ x:49, y:294}  убивает { x:45, y:289} 
{ x:219, y:88}  убивает { x:220, y:95} 
{ x:219, y:88}  убивает { x:220, y:95} 
{ x:45, y:289}  убивает { x:49, y:294} 
{ x:45, y:289}  убивает { x:49, y:294} 
{ x:45, y:289}  убивает { x:49, y:293} 
{ x:49, y:293}  убивает { x:45, y:289} 
{ x:44, y:307}  убивает { x:48, y:292} 
{ x:166, y:62}  убивает { x:157, y:65} 
{ x:48, y:292}  убивает { x:46, y:290} 
{ x:48, y:292}  убивает { x:46, y:290} 
{ x:150, y:64}  убивает { x:157, y:65} 
{ x:45, y:303}  убивает { x:47, y:296} 
{ x:47, y:296}  убивает { x:45, y:303} 
{ x:47, y:296}  убивает { x:38, y:299} 
{ x:24, y:281}  убивает { x:51, y:249} 
{ x:46, y:299}  убивает { x:46, y:300} 
{ x:46, y:299}  убивает { x:46, y:300} 
{ x:159, y:64}  убивает { x:157, y:64} 
{ x:154, y:156}  убивает { x:144, y:196} 
{ x:154, y:156}  убивает { x:144, y:196} 
{ x:38, y:296}  убивает { x:30, y:287} 
{ x:33, y:290}  убивает { x:35, y:293} 
{ x:33, y:290}  убивает { x:35, y:293} 
{ x:19, y:171}  убивает { x:48, y:200} 
{ x:204, y:73}  убивает { x:190, y:62} 
{ x:204, y:73}  убивает { x:191, y:62} 
{ x:204, y:73}  убивает { x:191, y:62} 
{ x:194, y:63}  убивает { x:209, y:114} 
{ x:194, y:63}  убивает { x:209, y:114} 
{ x:201, y:70}  убивает { x:194, y:63} 
{ x:201, y:70}  убивает { x:194, y:63} 
{ x:14, y:172}  убивает { x:50, y:199} 
{ x:193, y:68}  убивает { x:183, y:66} 
{ x:189, y:68}  убивает { x:187, y:67} 
{ x:189, y:68}  убивает { x:187, y:67} 
{ x:10, y:162}  убивает { x:15, y:203} 
{ x:10, y:162}  убивает { x:15, y:203} 
{ x:40, y:53}  убивает { x:37, y:52} 
{ x:194, y:199}  убивает { x:193, y:201} 
{ x:194, y:199}  убивает { x:193, y:201} 
{ x:144, y:24}  убивает { x:144, y:24} 
{ x:37, y:52}  убивает { x:40, y:53} 
{ x:340, y:398}  убивает { x:341, y:400} 
{ x:36, y:51}  убивает { x:42, y:52} 
{ x:36, y:51}  убивает { x:0, y:30} 
{ x:42, y:52}  убивает { x:36, y:51} 
{ x:42, y:52}  убивает { x:36, y:51} 
{ x:290, y:139}  убивает { x:304, y:137} 
{ x:290, y:139}  убивает { x:304, y:137} 
{ x:374, y:185}  убивает { x:363, y:194} 
{ x:340, y:398}  убивает { x:341, y:400} 
{ x:340, y:398}  убивает { x:341, y:400} 
{ x:371, y:188}  убивает { x:367, y:191} 
{ x:371, y:188}  убивает { x:367, y:191} 
{ x:89, y:228}  убивает { x:86, y:234} 
{ x:9, y:334}  убивает { x:49, y:330} 
{ x:151, y:29}  убивает { x:156, y:34} 
{ x:36, y:8}  убивает { x:42, y:4} 
{ x:36, y:8}  убивает { x:42, y:4} 
{ x:32, y:5}  убивает { x:82, y:5} 
{ x:32, y:5}  убивает { x:82, y:5} 
{ x:160, y:31}  убивает { x:159, y:31} 
{ x:292, y:128}  убивает { x:286, y:115} 
{ x:37, y:28}  убивает { x:34, y:13} 
{ x:290, y:124}  убивает { x:288, y:119} 
{ x:290, y:124}  убивает { x:288, y:119} 
{ x:371, y:127}  убивает { x:378, y:121} 
{ x:37, y:24}  убивает { x:35, y:17} 
{ x:35, y:17}  убивает { x:37, y:24} 
{ x:378, y:121}  убивает { x:371, y:127} 
{ x:378, y:121}  убивает { x:371, y:127} 
{ x:166, y:34}  убивает { x:164, y:37} 
{ x:166, y:34}  убивает { x:164, y:37} 
{ x:36, y:20}  убивает { x:36, y:21} 
{ x:36, y:21}  убивает { x:36, y:20} 
{ x:36, y:25}  убивает { x:36, y:26} 
{ x:36, y:25}  убивает { x:36, y:26} 
{ x:79, y:233}  убивает { x:70, y:232} 
{ x:79, y:233}  убивает { x:70, y:232} 
{ x:298, y:163}  убивает { x:266, y:195} 
{ x:77, y:237}  убивает { x:98, y:203} 
{ x:374, y:148}  убивает { x:377, y:133} 
{ x:374, y:148}  убивает { x:377, y:133} 
{ x:77, y:237}  убивает { x:98, y:203} 
{ x:77, y:237}  убивает { x:98, y:203} 
{ x:291, y:142}  убивает { x:297, y:160} 
{ x:291, y:142}  убивает { x:297, y:160} 
{ x:179, y:28}  убивает { x:179, y:0} 
{ x:179, y:28}  убивает { x:179, y:0} 
{ x:66, y:210}  убивает { x:73, y:225} 
{ x:66, y:210}  убивает { x:73, y:225} 
{ x:197, y:35}  убивает { x:183, y:27} 
{ x:197, y:35}  убивает { x:183, y:27} 
{ x:175, y:158}  убивает { x:185, y:118} 
{ x:175, y:158}  убивает { x:185, y:118} 
{ x:246, y:341}  убивает { x:258, y:350} 
{ x:196, y:162}  убивает { x:154, y:162} 
{ x:250, y:344}  убивает { x:254, y:347} 
{ x:254, y:347}  убивает { x:250, y:344} 
{ x:206, y:167}  убивает { x:200, y:164} 
{ x:200, y:164}  убивает { x:206, y:167} 
{ x:200, y:164}  убивает { x:206, y:167} 
{ x:254, y:347}  убивает { x:259, y:347} 
{ x:259, y:347}  убивает { x:254, y:347} 
{ x:259, y:347}  убивает { x:254, y:347} 
{ x:205, y:164}  убивает { x:253, y:164} 
